name,gender,source_name,source_url,source_title,source_extract
Anthony,boy,Wikipedia - Anthony,https://en.wikipedia.org/wiki/Anthony,Anthony,"Anthony, also spelled Antony, is a masculine given name derived from the Antonii, a Roman gens or clan that famously included Mark Antony (Marcus Antonius). The ultimate etymology of the name is unknown. Its popularity as a given name is largely due to the fame of Anthony the Great, an Egyptian hermit and saint who is regarded as the first monk. The later saint Anthony of Padua also contributed to its diffusion.
Equivalents include Antoine in French; Antonio in Italian and Spanish; António or Antônio in Portuguese; Anton in Dutch, German, Romanian, Russian, and the Scandinavian languages; Αντώνιος in Greek; Antal in Hungarian; Antoni in Polish and Slovene; and Antun or Ante in Croatian. English pet forms include Tony and Ant.
In the United States, it was the 43rd most popular male name in 2021, according to the Social Security Administration. Its popularity in the United Kingdom peaked during the 1940s; in 1944 it was the sixth most popular male name, and it was still as high as 14th in 1964."
Archer,boy,Wikipedia - Archer (given name),https://en.wikipedia.org/wiki/Archer_%28given_name%29,Archer (given name),"Archer is a given name. Notable people with this name include:

Archer Alexander (c. 1810–1879), former black slave who served as the model for the slave in the statue variously known as Freedom Memorial and the Emancipation Memorial in Lincoln Park, Washington, DC
Archer Baldwin (1883–1966), British Member of Parliament
Archer Blood (1923–2004), American diplomat in Bangladesh
Sir Archer Croft, 2nd Baronet (1683–1753), Member of Parliament
Archer T. Gammon (1918–1945), US Army soldier and posthumous recipient of the Medal of Honor
Archer Thompson Gurney (1820–1887), Church of England clergyman and hymn writer
Archer Butler Hulbert (1873–1933), historical geographer, writer, professor of American history and newspaper editor
Archer Milton Huntington (1870–1955), American historian and philanthropist
Archer King (1917–2012), American theatrical agent, producer and actor
Archer Maclean (1962–2022), British video game programmer
Archer MacMackin (1888–1961), American silent film director, producer and screenwriter
Archer Martin (1910–2002), British chemist and Nobel laureate
Archer Mathews (1744–1796), American pioneer and politician
Archer James Oliver (1774–1842), British painter
Archer Allen Phlegar (1846–1912), Virginia state senator and Virginia Supreme Court justice
Archer Prewitt (born 1963), American musician and cartoonist"
Archie,boy,Wikipedia - Archie,https://en.wikipedia.org/wiki/Archie,Archie,"Archie or Archy is a given name, almost exclusively masculine, and a diminutive of Archibald, which is derived from the Germanic  ercan, meaning ""genuine"", and bald, meaning ""bold."" It has been in use as an independent given name in the Anglosphere since the 19th century. It has increased in use in English-speaking countries in the 21st century. The name has traditionally been well-used in the United Kingdom and has also been well-used in Australia and New Zealand. It was among the top 1,000 names for boys in the United States between 1880 and 1988, but its use declined until 2018, when it was once again among the top 1,000 names for American boys. It has continued to increase in use following the 2019 birth of Prince Archie of Sussex, son of Prince Harry, Duke of Sussex and Meghan, Duchess of Sussex, who has brought attention to the name.
It may refer to:"
Ari,boy,Wikipedia - Ari (name),https://en.wikipedia.org/wiki/Ari_%28name%29,Ari (name),"Ari is a given name in many languages and cultures, for both men and women. It also may be a nickname for a wide variety of unrelated names."
Arlo,boy,Wikipedia - Arlo,https://en.wikipedia.org/wiki/Arlo,Arlo,"Arlo (pronounced /ˈɑːɹ.loʊ/) is a unisex given name. Some sources state it to be of Old English origin, meaning ""endless energy""; it was first used by Edmund Spenser, who ""evidently invented"" it, as the name of a hill where the gods debate in his poem The Faerie Queene (1590 and 1596).
Although originally a male name, 2018 Yahoo! UK article indicated an increasing popularity of ""Arlo"" as a girls' name in England and Wales."
Arthur,boy,Wikipedia - Arthur,https://en.wikipedia.org/wiki/Arthur,Arthur,"Arthur is a masculine given name of uncertain etymology. Its popularity derives from it being the name of the legendary hero King Arthur.
A common spelling variant used in many Slavic, Romance, and Germanic languages is Artur. In Spanish and Italian, a common spelling variant used is Arturo."
Asher,boy,Wikipedia - Asher (name),https://en.wikipedia.org/wiki/Asher_%28name%29,Asher (name),"Asher is an English-language occupational surname for an ash maker, derived from the Middle English surname ""Aschere"" or from the German ""Äscher"" (Ashman). It can also be a form of the Old English surname ""Æsċer"" (Æsċe + ere), meaning ""one who lives by an ash tree or ash grove.""
It is also a common Jewish first name and surname (Hebrew: אָשֵׁר; also transliterated as Osher and Usher) meaning ""fortunate"" or ""happy"" in Hebrew, unrelated to the Germanic occupational root. It is the name of Asher, the son of Jacob, in the Tanakh."
Ashton,boy,Wikipedia - Ashton (given name),https://en.wikipedia.org/wiki/Ashton_%28given_name%29,Ashton (given name),"Ashton is a male name of English origin. It is derived from the surname, itself a place name meaning ""ash tree town"".
The name is in use for both boys and girls in the United States. Ashton was used far more often for American females from 1986 until 1997. The popularity for girls was from the Terri Garber character ""Ashton Main"" on 1985's North and South TV miniseries. Since Ashton Kutcher's debut on television and film in the late 1990s, the name is now in favor more for boys, as it was always before 1986. Ashton was the 124th most popular name for American boys born in 2007. It was the 778th most popular name for American girls in 2005, the last year it was ranked among the top 1,000 names. Ashton was ranked among the top 100 names for boys in England and Wales in 2007 and in British Columbia, Canada and New South Wales, Australia in 2005 and 2006.
Popular nicknames include Ash and Ashy."
Atlas,boy,Wikipedia - Atlas (name),https://en.wikipedia.org/wiki/Atlas_%28name%29,Atlas (name),"Atlas is a primarily male name, usually given in reference to the character from Greek mythology. It has increased in usage in recent years for both boys and girls in the United States along with other mythological names, but is still more used for boys. The name has also increased in usage for boys in the United Kingdom and Turkey.  It is also a primarily Ashkenazi Jewish surname derived from an Arabic word meaning satin."
Austin,boy,Wikipedia - Austin (given name),https://en.wikipedia.org/wiki/Austin_%28given_name%29,Austin (given name),"Austin is an English masculine given name, an Old French language contraction of Agustin as Aostin, Austin (regular disappearing of intervocalic [g] from Late Latin to Old French; cf. : Old French aüst / aoust, French août). Agustin is the popular form of Augustin, equivalent to Augustine. Variations of the name include Austen and Auston."
Axel,boy,Wikipedia - Axel (name),https://en.wikipedia.org/wiki/Axel_%28name%29,Axel (name),"Axel (also Aksel) is a Scandinavian, German, French, and Dutch masculine given name. In Estonia, Denmark, and Norway the spelling Aksel is more common. The Finnish form of the name is Akseli, while a French feminine form is Axelle. Axel is sometimes used as a surname.
Because the Danish archbishop Absalon (1128–1201) was also known as ""Axel of Lund"", the name has been interpreted as a corruption of the Hebrew name Absalom. Axel arose via Axelen from Absalon, possibly by conflation with the existing names Askel and Askil, medieval forms of the Old Norse name Ásketill, from ans ""god"" and ketill ""cauldron/helmet""."
Bailey,boy,Wikipedia - Bailey (given name),https://en.wikipedia.org/wiki/Bailey_%28given_name%29,Bailey (given name),"Bailey is a given name derived from the surname Bailey.
The most likely derivation of the surname is from bailli, the Anglo-Norman equivalent of bailiff.
An early American bearer of the given name was Bailey Bartlett (1750–1830). Occasional use of Bailey as a given name in the United States is recorded throughout the 19th century, but it mostly fell out of use by the 1940s. In the 1980s, it saw a resurgence of popularity as a feminine name beginning in the 1980s,  popularized by the female character Bailey Quarters in the American comedy television sitcom WKRP in Cincinnati (1978–1982), played by Jan Smithers. 
In the 1990s to 2000s, there was also a resurgence in use as a masculine name. 
Following the US fashion, the name came to be used in other English-speaking countries beginning in the 1990s.
In England, it ranked among the top 200 masculine names  in the 1990s. Bailey was the 70th most popular name for boys born in England and Wales and Ireland in 2007 and was the 91st most popular name for boys born in Scotland in 2006. Spelling variations of the name are also in wide use."
Bean,boy,Wikipedia - Bean (name),https://en.wikipedia.org/wiki/Bean_%28name%29,Bean (name),"Bean or Beans is a given name, Scottish surname and nickname."
Beau,boy,Wikipedia - Beau (name),https://en.wikipedia.org/wiki/Beau_%28name%29,Beau (name),"Beau ( BOH) is a given name, nickname and surname. Notable people with the name include:"
Ben,boy,Wikipedia - Ben,https://en.wikipedia.org/wiki/Ben,Ben,"Ben is a masculine given name. It is often short for Benjamin, Benedict, Bennett, Benson, and Ebenezer.
Ben meaning ""son of"" is also found in Arabic as Ben (dialectal Arabic) or  bin (بن), Ibn/ebn (ابن).
Ben (賁/便嗯
) is a Chinese surname."
Benjamin,boy,Wikipedia - Benjamin (name),https://en.wikipedia.org/wiki/Benjamin_%28name%29,Benjamin (name),"Benjamin is a common given name for males, derived from Hebrew בִּנְיָמִין‎, Binyāmīn, translating as 'son of the right [hand]' in both Hebrew and Arabic languages, although in the Samaritan Pentateuch the name appears as Binyaamem: 'son of my days'.
Benjamin is often shortened to Ben, and sometimes to Benny, Benito, Benjy, Benji, etc. It is also a patronymic surname. Like many biblical names, it is popular in the Jewish, Christian and Muslim faiths alike, having many variant forms in other languages.
The ""Benjamin of the family"" is a phrase used in several languages to refer to the youngest son – especially when he is much younger than his brothers (see also the ""youngest son"" stock character in fiction). Sometimes the name is chosen for a son born to mature parents unlikely to have more children, especially if he has several older siblings. Both of these usages derive from the biblical son of Jacob of that name, who occupied that position in his family.
In some language with Sanskrit root, such as Thai language, Benja or Benjama is also derivative of pañca which means 'five' or 'the fifth'. And can be merged with Indra to form the name homophone name Benjamin  (which means 'the fifth Indra', sometimes written Benchamin).
There are also many similar name start with Banja- or Benjama- with other combination such as Benjawan (used by some actresses and models in Thailand) or Benjamat (female name, also means the flower Chrysanthemum).
Alternate versions of the name exist for females, like Benjamina."
Bentley,boy,,,,
